City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
600,Kudahuvadhoo,MV,2.6708,72.8944,81.93,74,96,11.9,overcast clouds
601,Skibbereen,IE,51.55,-9.2667,48.0,79,100,17.47,overcast clouds
602,Okhotsk,RU,59.3833,143.3,15.03,73,100,19.95,overcast clouds
603,Sendafa,ET,9.15,39.0333,52.86,48,1,3.69,clear sky
604,Macas,EC,-2.3167,-78.1167,73.15,83,75,4.61,broken clouds
605,Yumen,CN,40.2833,97.2,15.55,43,100,7.2,overcast clouds
606,Sangin,AF,32.0728,64.8359,51.26,47,8,5.12,clear sky
607,Vila Velha,BR,-20.3297,-40.2925,84.15,70,75,9.22,thunderstorm
608,Yamada,JP,39.4667,141.95,23.5,59,71,3.49,broken clouds
609,Mount Gambier,AU,-37.8333,140.7667,62.51,100,100,9.22,overcast clouds
610,Garowe,SO,8.4054,48.4845,71.53,65,100,13.04,overcast clouds
611,Pombia,IT,45.653,8.6336,53.08,64,1,1.01,clear sky
612,Krasnoselkup,RU,65.7,82.4667,-5.82,99,94,8.25,overcast clouds
613,Yanji,CN,42.9075,129.5078,7.29,81,1,5.53,clear sky
614,Powassan,CA,46.0334,-79.3496,19.65,69,100,5.26,overcast clouds
615,Zaozerne,UA,45.1582,33.2787,38.82,89,100,18.57,overcast clouds
616,San Roque,ES,36.2107,-5.3842,58.03,72,0,11.5,clear sky
617,Athenry,IE,53.2964,-8.7431,46.04,80,87,14.67,overcast clouds
618,Vila,PT,42.0304,-8.1588,44.33,40,0,3.42,clear sky
619,Guarda,PT,40.5373,-7.2658,40.91,54,13,2.82,few clouds
620,Iaciara,BR,-14.0958,-46.6317,79.07,72,100,5.93,overcast clouds
621,Digboi,IN,27.3833,95.6333,52.0,72,8,2.19,clear sky
622,Padang,ID,-0.9492,100.3543,73.45,91,100,2.77,overcast clouds
623,Faizpur,IN,21.1667,75.85,66.96,27,0,3.65,clear sky
624,Oksfjord,NO,70.2396,22.3479,31.12,84,19,6.8,few clouds
625,La Ronge,CA,55.1001,-105.2842,12.45,79,100,9.22,overcast clouds
626,Medea,DZ,36.2642,2.7539,37.85,35,0,3.58,clear sky
627,Umm Kaddadah,SD,13.6017,26.6876,62.02,14,2,12.62,clear sky
628,San-Pedro,CI,4.7485,-6.6363,80.49,83,10,6.96,clear sky
629,Illapel,CL,-31.6308,-71.1653,77.83,50,2,9.84,clear sky
630,Bubaque,GW,11.2833,-15.8333,78.1,65,13,15.17,few clouds
631,San Quintin,MX,30.4833,-115.95,63.46,48,0,6.26,clear sky
632,Zambezi,ZM,-13.5432,23.1047,65.26,96,100,4.85,light rain
633,Burns Lake,CA,54.2331,-125.7533,26.02,94,84,3.06,broken clouds
634,Kidal,ML,18.4411,1.4078,74.52,13,8,10.65,clear sky
635,Sheltozero,RU,61.3667,35.3667,19.89,90,100,12.21,light snow
636,Leshukonskoye,RU,64.8989,45.7622,10.17,95,100,6.51,overcast clouds
637,Yar-Sale,RU,66.8333,70.8333,-0.54,95,100,7.54,overcast clouds
638,Ubatuba,BR,-23.4339,-45.0711,80.13,93,100,0.47,overcast clouds
639,Broken Hill,AU,-31.95,141.4333,78.51,65,100,4.61,overcast clouds
640,Victor Harbor,AU,-35.5667,138.6167,72.91,87,59,3.98,broken clouds
641,Zurrieq,MT,35.8311,14.4742,55.96,82,20,16.11,few clouds
642,Monywa,MM,22.1167,95.1333,61.43,56,0,6.87,clear sky
643,Mizdah,LY,31.4451,12.9801,46.56,71,0,6.98,clear sky
644,Dali,CN,25.7,100.1833,38.03,88,10,4.21,clear sky
645,Biloela,AU,-24.4167,150.5,69.17,94,1,4.03,clear sky
646,Owando,CG,-0.4819,15.8999,79.54,39,100,2.62,overcast clouds
